Company,Type,Rating,Location,Number,Portfolio,Website,Directions Link,Directions
Verdantas, Engineering consultant,5,"Dover, DE, United States · +1 302-674-9280",,,http://www.verdantas.com,"https://www.google.com/maps/dir//Verdantas,+1060+S+Governors+Ave+%23101,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c763f93a2af75b:0xe1648ec95cdb12d4?sa=X&ved=1t:57443&ictx=111",Directions
Square One Electric Motors and Pumps, Contractor,4.6,+1 302-678-0400,,,https://www.sqone.com,"https://www.google.com/maps/dir//Square+One+Electric+Motors+and+Pumps,+347+Fork+Branch+Rd,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77afc22212833:0xe4f6896e82432fb5?sa=X&ved=1t:57443&ictx=111",Directions
Century Engineering Inc., Engineering consultant,4,"Dover, DE, United States · +1 302-734-9188",,,https://www.centuryeng.com,"https://www.google.com/maps/dir//Century+Engineering+Inc.,+550+S+Bay+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77afb9d3e0c4b:0x65358aa521bfbd40?sa=X&ved=1t:57443&ictx=111",Directions
Comfort Plus Services, HVAC contractor,4.9,"Federalsburg, MD, United States · +1 667-238-5192",,"""Including new duct work.""",https://comfortplusservices.com,"https://www.google.com/maps/dir//Comfort+Plus+Services,+3941+Federalsburg+Hwy,+Federalsburg,+MD+21632,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b85ebe9368233f:0xd024f47f6e0f120c?sa=X&ved=1t:57443&ictx=111",Directions
"Jack E. Donovan Plumbing, Heating & AC", Plumber,4.8,+1 302-422-6445,,,0,,
Service Today, Plumber,2.8,"Dover, DE, United States · +1 302-736-6770",,"""We are grateful to SERVICE TODAY for providing expert plumbing service!""",0,,
Silver Lake Restoration, Fire damage restoration service,5,"Dover, DE, United States · +1 302-213-1140",,,0,"https://www.google.com/maps/dir//Silver+Lake+Restoration,+16+Ironwood+Cir,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77bc81a8d41f7:0xf4c66c07188e83f6?sa=X&ved=1t:57443&ictx=111",Directions
One Hour Heating And Air of Dover De, Air conditioning contractor,,"Dover, DE, United States · +1 302-307-6649",,,http://www.onehourheatandair.com,"https://www.google.com/maps/dir//One+Hour+Heating+And+Air+of+Dover+De,+4282+N+Dupont+Hwy,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77bf58f1b4d69:0x2f862cb990a56ba9?sa=X&ved=1t:57443&ictx=111",Directions
KR-RELIANCE LLC, Marketing agency,3.7,8 The Green · +1 877-588-2116,,"""I hope to see more of this business model in the  market.""",https://www.home2contractor.com,"https://www.google.com/maps/dir//KR-RELIANCE+LLC,+8+The+Green,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c259c57a4c4d5f:0xdfaab3c04fc172f2?sa=X&ved=1t:57443&ictx=111",Directions
Ferguson Plumbing Supply,   Plumbing supply store,5,+1 302-747-2032,,,https://www.ferguson.com,"https://www.google.com/maps/dir//Ferguson+Plumbing+Supply,+10+Maggies+Way,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c764815bcf33b5:0xe48f617f2933db55?sa=X&ved=1t:57443&ictx=111",Directions
Wrights Automotive Services, Car repair and maintenance service,5,12 Dwayne Cir · +1 302-670-8367,,"""He came back to my house a few days later and installed them in my garage.""",https://wrightsautomotives.wixsite.com,"https://www.google.com/maps/dir//Wrights+Automotive+Services,+12+Dwayne+Cir,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77bef16f8ad95:0xfd121c4e8d4b8cc?sa=X&ved=1t:57443&ictx=111",Directions
Septic Masters, Septic system service,4.8,317 N Layton Ave · +1 302-861-0433,,"""The Technician had no trouble with the deck and was very thorough.""",https://septic-masters.com,"https://www.google.com/maps/dir//Septic+Masters,+317+N+Layton+Ave,+Wyoming,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d2346973075:0x6fef4a73378de2a2?sa=X&ved=1t:57443&ictx=111",Directions
Ensley's Tree Care, Tree service,4.9,,+1 302-531-5741,"""I had a job that needed to be done at my house.""",http://www.ensleystreecare.com,,
Techmeout HVAC, HVAC contractor,,25Ahanley street · +1 302-300-6469,,,0,"https://www.google.com/maps/dir//Techmeout+HVAC,+25Ahanley+street,+Harrington,+DE+19952,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8852f9313242d:0xf7945ae4c0a6ad1?sa=X&ved=1t:57443&ictx=111",Directions
"The Clean Crew, LLC.", Janitorial service,5,,+1 302-444-7905,,http://thecleancrewbrand.com,,
"Amazing Dryer Vent & AIr Duct Cleaning And Chimney Inspection Services Of Dover, DE", Contractor,3.8,1502 E Lebanon Rd · +1 302-558-6298,,"""Thanks to  Chimney Inspection Services Of  Dover, DE!""",0,"https://www.google.com/maps/dir//Amazing+Dryer+Vent+%26+AIr+Duct+Cleaning+And+Chimney+Inspection+Services+Of+Dover,+DE,+1502+E+Lebanon+Rd,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7632275565b07:0x90109e02eeff8749?sa=X&ved=1t:57443&ictx=111",Directions
Magnolia Heating and Air Conditioning, HVAC contractor,,,+1 302-786-9570,,0,,
Veteran Field Services LLC, Contractor,5,"Dover, DE, United States · +1 302-538-9520",,"""I look forward to dealing with Jack and Veterans in the future!""",http://www.vetfs.com,"https://www.google.com/maps/dir//Veteran+Field+Services+LLC,+8+The+Green+Suite+%238614,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c76531b80cf657:0x2e918b38799b75d8?sa=X&ved=1t:57443&ictx=111",Directions
Diamond Electric Inc, Electrician,5,"Dover, DE, United States · +1 302-697-3296",,,http://diamondstateengineering.com,"https://www.google.com/maps/dir//Diamond+Electric+Inc,+3566+Peachtree+Run+%23+1,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d4758879a59:0x8ea589f045b1f4f0?sa=X&ved=1t:57443&ictx=111",Directions
Red Dog Associates, Contractor,,,+1 302-899-1334,,https://www.reddogac.com,"https://www.google.com/maps/dir//Red+Dog+Associates,+1661+S+Dupont+Hwy,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77ccca2cfd3bb:0x41189f1a1019a96e?sa=X&ved=1t:57443&ictx=111",Directions
"Lindale Plumbing, Heating & Air", Plumber,4.3,"Greenwood, DE, United States · +1 302-422-6445",,"""They were out within a few hours and had everything fixed.""",https://lindaleplumbing.com,"https://www.google.com/maps/dir//Lindale+Plumbing,+Heating+%26+Air,+15020+Abbotts+Pond+Rd,+Greenwood,+DE+19950,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b899da26a65261:0xfc9f949a2c02ce36?sa=X&ved=1t:57443&ictx=111",Directions
Pro-spect Inspection Services DE, Home inspector,4.9,"Dover, DE, United States · +1 302-591-3505",,"""They responded right away for a request for our home inspection in Delaware.""",https://gopro-spect.com,"https://www.google.com/maps/dir//Pro-spect+Inspection+Services+DE,+1277+S+Governors+Ave,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c76330d6ea3fe5:0xa3473573589e69b6?sa=X&ved=1t:57443&ictx=111",Directions
Terroco Inc, Heating contractor,4.7,"Dover, DE, United States · +1 800-505-4281",,,http://www.terrocooil.com,"https://www.google.com/maps/dir//Terroco+Inc,+3799+N+Dupont+Hwy,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77ae33b2a0c33:0xb521ee2ffa5fda72?sa=X&ved=1t:57443&ictx=111",Directions
East Coast Plumbing & HVAC, Air conditioning contractor,3.9,26 Brookhill Dr # A · +1 302-266-0530,,"""Chris B came out for an initial inspection of our pipe leak.""",0,"https://www.google.com/maps/dir//East+Coast+Plumbing+%26+HVAC,+26+Brookhill+Dr+%23+A,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9c2a08d6391:0x330ccd29d285f12a?sa=X&ved=1t:57443&ictx=111",Directions
Summit Mechanical Inc, Mechanical contractor,3.8,"Bear, DE, United States · +1 302-836-8814",,,http://www.summitmechanical.org/,"https://www.google.com/maps/dir//Summit+Mechanical+Inc,+304+Carson+Dr,+Bear,+DE+19701,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c707bdc23ac349:0xdc62d997330d9941?sa=X&ved=1t:57443&ictx=111",Directions
Berry Refrigeration Company, HVAC contractor,4.4,,+1 302-733-0933,"""Great crew for projects.""",https://berryrefrigeration.com,"https://www.google.com/maps/dir//Berry+Refrigeration+Company,+2+Garfield+Way,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9d82bae3255:0x60801183ca86cea0?sa=X&ved=1t:57443&ictx=111",Directions
"M. Davis and Sons, Inc.", Mechanical engineer,3.7,9 Tyler Way · +1 800-913-2847,,,http://www.mdavisinc.com,"https://www.google.com/maps/dir//M.+Davis+and+Sons,+Inc.,+9+Tyler+Way,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9e5b11034cb:0xc4c7c16f8de78b6d?sa=X&ved=1t:57443&ictx=111",Directions
DEDC, Engineering consultant,5,315 S Chapel St · +1 302-738-7172,,,http://www.dedc-eng.com,"https://www.google.com/maps/dir//DEDC,+315+S+Chapel+St,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7aa2134bf94fd:0x9c3acaf921d70163?sa=X&ved=1t:57443&ictx=111",Directions
Varady Hvac, Air conditioning contractor,5,805 Barksdale Rd · +1 302-430-4470,,"""He fixes it the first time at an affordable price.""",0,"https://www.google.com/maps/dir//Varady+Hvac,+805+Barksdale+Rd,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7abd13722ba77:0x158f9a76dad6f968?sa=X&ved=1t:57443&ictx=111",Directions
K&H Electrical Services LLC, Electrician,5,#VALUE!, +1 240-440-4718,"""Very knowledgeable, quick, clean and showed up on short notice.""",https://kandhelectricllc.com,,
Lewis Electric Services, Electrician,5,"Lincoln, DE, United States", +1 302-491-4450,"""The crew showed up on time, diagnosed and repaired my issue in a short time.""",https://www.lewiselectricservices.com,"https://www.google.com/maps/dir//Lewis+Electric+Services,+7385+Marshall+St,+Lincoln,+DE+19960,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x219501473678c529:0x4f17f33cfe41fba3?sa=X&ved=1t:57443&ictx=111",Directions
"Kent Electrical Services, LLC", Electrician,5,"Felton, DE, United States", +1 302-922-4631,"""Dustin was very professional and dealt with my  problem quickly.""",https://kentelectricalservice.com,"https://www.google.com/maps/dir//Kent+Electrical+Services,+LLC,+112+Lake+Dr,+Felton,+DE+19943,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b89dfe800663a3:0x89e804e659955e10?sa=X&ved=1t:57443&ictx=111",Directions
"B&B Electrical Services, Inc.", Electrician,5,,+1 302-540-3662,"""His pricing is more than fair, and the work was spectacularly done!""",https://www.bbelectricalservicesinc.com,,
Day-Light Electric, Contractor,4.5,"Wilmington, DE, United States",+1 302-762-2180,"""They were very professional, finished the job in a day for us!""",0,"https://www.google.com/maps/dir//Day-Light+Electric,+4627+Talley+Hill+Ln,+Wilmington,+DE+19803,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6e333be995555:0xdcf3d37de0c0cd22?sa=X&ved=1t:57443&ictx=111",Directions
Donaldson Electric Inc., Contractor,4.7,"Wilmington, DE, United States", +1 302-660-7534,"""Plus he can back to check if it was still working;""",http://www.donaldson-electric.com,"https://www.google.com/maps/dir//Donaldson+Electric+Inc.,+124+F,+124+Middleboro+Rd,+Wilmington,+DE+19804,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7027b350d1153:0xa320621da46c8614?sa=X&ved=1t:57443&ictx=111",Directions
FMJ Electrical Contracting Inc, Electrician,5,"Claymont, DE, United States", +1 215-669-2085,"""He was very professional and I would recommend highly recommend him.""",0,"https://www.google.com/maps/dir//FMJ+Electrical+Contracting+Inc,+912+Parkside+Blvd,+Claymont,+DE+19703,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xa64ad7ae0fddeb25:0x73d658aeed92ae3e?sa=X&ved=1t:57443&ictx=111",Directions
Cape Electric, Electrician,5,,+1 302-550-0559,"""Great communication, transparent pricing, excellent workmanship""",http://callcapeelectric.com,,
Pink Electrical Services, Electrical installation service,5,#VALUE!,+1 302-363-0438,"""Joe showed up quickly and diagnosed our  problem.""",http://www.pinkelectrical.com,,
Electrical Solutions, Utility contractor,5,"Wilmington, DE, United States", +1 302-994-6252,"""I have been throughly impressed with this teams work.""",https://www.electricalsolutionsde.com,"https://www.google.com/maps/dir//Electrical+Solutions,+2507+Old+Milltown+Rd,+Wilmington,+DE+19808,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7004edb17a7df:0x75e481f6013ce58d?sa=X&ved=1t:57443&ictx=111",Directions
Aaron and Sons Electric, Electrician,3.8,"Wilmington, DE, United States", +1 302-764-5610,"""As in example: they installed the thermostat directly under a sconce.""",0,"https://www.google.com/maps/dir//Aaron+and+Sons+Electric,+200+W+38th+St,+Wilmington,+DE+19802,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6e32c0aabbcd1:0x3d96432af2c51a?sa=X&ved=1t:57443&ictx=111",Directions
Conductive Electrical Contracting, Electrician,4.2,#VALUE!, +1 302-659-5000,"""On time, kept in touch every step of the way.""",https://conductiveelectric.com,,
Legendary Electric LLC, Electrician,5,#VALUE!, +1 302-803-0055,,0,"https://www.google.com/maps/dir//Legendary+Electric+LLC,+243+Quigley+Blvd+suite+k,+New+Castle,+DE+19720,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x82ccaa8ab7d05ef5:0x933e3afcac529e05?sa=X&ved=1t:57443&ictx=111",Directions
C.I. Electrical Contractors, Electrician,5,#VALUE!, +1 610-314-4301,"""Great work, very responsive!!""",https://www.cielectricalcontractors.com,,
CLENDANIEL ELECTRICAL CONTRACTORS LLC, Electrician,5,#VALUE!, +1 302-382-1088,"""I will never call anyone else for my  needs.""",0,,
"PowerComm, LLC", Electrical installation service,5,"Wilmington, DE, United States", +1 302-235-8922,"""My encounter with this company was truly impressive.""",http://www.powercommllc.com,"https://www.google.com/maps/dir//PowerComm,+LLC,+6+Hadco+Rd+Unit+2,+Wilmington,+DE+19804,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6ff22f20e644f:0xa43734530dbe8261?sa=X&ved=1t:57443&ictx=111",Directions
LAD Electrical Contractor LLC, Electrician,,#VALUE!, +1 856-517-3143,,https://www.facebook.com,,
City Electric Supply Wilmington DE,   Electrical supply store,4.9,#VALUE!, +1 302-777-5300,"""Nice and  great place to buy  equipment and materials.""",https://www.cityelectricsupply.com,"https://www.google.com/maps/dir//City+Electric+Supply+Wilmington+DE,+6+Medori+Blvd,+Wilmington,+DE+19801,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c702bd5afc71cf:0xc3ebb41981c5d414?sa=X&ved=1t:57443&ictx=111",Directions
Seeney Electric LLC, Electrician,,"Wilmington, DE, United States", +1 302-494-3686,,0,"https://www.google.com/maps/dir//Seeney+Electric+LLC,+431+Bradford+St,+Wilmington,+DE+19801,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6fd59ae57ea11:0x8409afee250296f1?sa=X&ved=1t:57443&ictx=111",Directions
MKP Electric Service, Electrician,5,"Wilmington, DE, United States", +1 215-515-2159,,http://mkpelectricservice.com,"https://www.google.com/maps/dir//MKP+Electric+Service,+2733+Skylark+Rd,+Wilmington,+DE+19808,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6fe0e3ae95555:0x1f805d822b2619f?sa=X&ved=1t:57443&ictx=111",Directions
Kowall Electric LLC, Electrician,5,"Morton, PA, United States", +1 610-916-3100,"""KEC came out and diagnosed my  problem immediately.""",https://kowallelectric.com,"https://www.google.com/maps/dir//Kowall+Electric+LLC,+61+S+Morton+Ave+Suite+8,+Morton,+PA+19070,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6c3246da88b1b:0xef2a46db1d1701de?sa=X&ved=1t:57443&ictx=111",Directions
T C Electric Co, Contractor,3.5,"Edgemoor, DE, United States", +1 302-791-9100,,http://www.tcelectric.biz/,"https://www.google.com/maps/dir//T+C+Electric+Co,+6701+Governor+Printz+Blvd,+Edgemoor,+DE+19809,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6e39f9b001d4d:0xad49b7f9de0e72cb?sa=X&ved=1t:57443&ictx=111",Directions
"Superior Electrical Services, Inc.", Electrician,5,"Millsboro, DE, United States", +1 302-933-8631,"""The were on time and fair in price.""",http://www.superiorelectricalde.com,"https://www.google.com/maps/dir//Superior+Electrical+Services,+Inc.,+25892+Country+Meadows+Dr,+Millsboro,+DE+19966,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8c22615a059f5:0xadfea63da52bbb5c?sa=X&ved=1t:57443&ictx=111",Directions
Steele Electric, Electrical installation service,5,"New Castle, DE, United States", +1 302-384-8104,,0,"https://www.google.com/maps/dir//Steele+Electric,+116+Killoran+Dr,+New+Castle,+DE+19720,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c70351c7d79ded:0x30d69a974e1c9326?sa=X&ved=1t:57443&ictx=111",Directions
Lloyd Mills Electric, Electrician,4.8,"Carneys Point, NJ, United States", +1 717-829-9087,"""Very knowledgeable, professional, and responsive.""",http://www.lloydmillselectric.com,"https://www.google.com/maps/dir//Lloyd+Mills+Electric,+260+Regional+Dr,+Carneys+Point,+NJ+08069,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c13482fda0afe9:0xb0dadc17bb0a4774?sa=X&ved=1t:57443&ictx=111",Directions
East Coast Electric Company Inc., Electrician,3.7,"Townsend, DE, United States", +1 302-378-6060,"""We were very impressed by the jobs done by East Coast  Company!""",https://www.eastcoastelectricinc.com,"https://www.google.com/maps/dir//East+Coast+Electric+Company+Inc.,+50+Anchor+Inn+Rd,+Townsend,+DE+19734,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77443ab5a8951:0x978c0cd60e707399?sa=X&ved=1t:57443&ictx=111",Directions
Wolanski & Sons Electric, Electrician,,"Wilmington, DE, United States", +1 302-999-0838,,0,"https://www.google.com/maps/dir//Wolanski+%26+Sons+Electric,+401+1%2F2+1st+Ave,+Wilmington,+DE+19804,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7021661fb127b:0x394136ef55ae830c?sa=X&ved=1t:57443&ictx=111",Directions
AM Electrical Solutions, Electrician,5,,+1 302-647-0806,"""Great guys to work with and get the job done right.""",http://amelectricalsolutionsde.com,,
Clean Circuits Electrical Contracting, Electrical installation service,4.2,#VALUE!, +1 267-369-0569,"""Fixed our issue promptly.""",0,,
Cruz Electrical Services, Electrician,,#VALUE!, +1 302-357-1891,,0,"https://www.google.com/maps/dir//Cruz+Electrical+Services,+2607+Newell+Dr,+Wilmington,+DE+19808,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6ffcd40b84065:0x7fd2d111c2c33b4b?sa=X&ved=1t:57443&ictx=111",Directions
Select Electrical Company LLC, Electrician,5,,+1 302-893-8280,"""Will call him again whenever I need  work done.""",https://selectelectricalcompanyllc.jobbersites.com,,
Crown Electric & Remodeling, Electrician,,"Wilmington, DE, United States", +1 302-379-5687,,0,"https://www.google.com/maps/dir//Crown+Electric+%26+Remodeling,+2308+Henlopen+Ave,+Wilmington,+DE+19804,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c701921c84eef3:0x5537b2e37dcec8d6?sa=X&ved=1t:57443&ictx=111",Directions
Bill Mullen Electric, Electrician,4.8,"Downingtown, PA, United States", +1 484-716-1177,"""Work was done on time and quality was great.""",https://www.billmullenelectric.net/,"https://www.google.com/maps/dir//Bill+Mullen+Electric,+409+Mercer+Dr,+Downingtown,+PA+19335,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c65efa9d4a89e1:0xb48780dd3e0f135?sa=X&ved=1t:57443&ictx=111",Directions
Parra Electric Inc., Electrician,4.8,"Glen Mills, PA, United States", +1 610-358-3991,"""Work itself was done correctly but one man was astonishing.""",https://parraelectric.com,"https://www.google.com/maps/dir//Parra+Electric+Inc.,+421+Smithbridge+Rd+%231,+Glen+Mills,+PA+19342,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6e57ffb5ff317:0xbdc4f1dc3b4d3809?sa=X&ved=1t:57443&ictx=111",Directions
Blessing Electric, Electrician,4.8,"Lansdowne, PA, United States", +1 610-394-2211,"""The technicians were on time and professional.""",http://www.blessingelectric.com,"https://www.google.com/maps/dir//Blessing+Electric,+26+1st+St,+Lansdowne,+PA+19050,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6c15049749a09:0xa282b83cf61700d0?sa=X&ved=1t:57443&ictx=111",Directions
"G and S Electric, LLC", Electrician,4.8,"Felton, DE, United States", +1 302-387-0830,"""Greg can out same day, did repair at a very reasonable price.""",http://doverelectricalcontractor.com,"https://www.google.com/maps/dir//G+and+S+Electric,+LLC,+1035+Edwardsville+Rd,+Felton,+DE+19943,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b88762906e1771:0x9cfa1e3e37b0da4d?sa=X&ved=1t:57443&ictx=111",Directions
"302 Electrical Services, LLC", Electrician,5,,+1 302-272-0919,"""He has reasonable rates,  never leaves a mess,  and is very knowledgeable!""",https://www.electricalservicesfelton.net/,,
Marks Electric LLC, Electrician,5,,+1 551-587-8014,"""Was very flexible and came out quickly and fixed our issue within minutes""",0,,
MAFFIA ELECTRIC, Electrician,5,"Camden, DE, United States", +1 302-612-0473,"""Excellent pricing, prompt service and clean work""",https://www.maffiaelectric.com,"https://www.google.com/maps/dir//MAFFIA+ELECTRIC,+Camden,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d3f48dcdc07:0x4670ba95b51465ae?sa=X&ved=1t:57443&ictx=111",Directions
Any Hour Electric, Electrician,5,"Dover, DE, United States", +1 302-730-8450,"""Worked on several projects in different houses over 10 years.""",0,"https://www.google.com/maps/dir//Any+Hour+Electric,+938+Westview+Terrace,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77cb29bfc031d:0xe05e191a347b338f?sa=X&ved=1t:57443&ictx=111",Directions
"Good Company Handyman & Contractor Services, LLC", Handyman/Handywoman/Handyperson,5,#VALUE!, +1 302-703-9080,"""Respond quickly, very well priced and did an amazing job!""",http://goodcompanyde.com,,
H & A Electric, Electrician,3,"Dover, DE, United States",+1 302-678-8252,,0,"https://www.google.com/maps/dir//H+%26+A+Electric,+59+Roosevelt+Ave,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7634fc95e7013:0x90a95404cfaac99a?sa=X&ved=1t:57443&ictx=111",Directions
Dover Electric Supply Co, Electrical supply store,4,#VALUE!, +1 302-456-3990,"""My favorite place to buy material for my small  buisness.""",http://www.doverelectric.com,"https://www.google.com/maps/dir//Dover+Electric+Supply+Co,+625+Dawson+Dr+%23+H,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9ea2224dfa5:0x3ee6c9814da40dc0?sa=X&ved=1t:57443&ictx=111",Directions
Michael Vassallo Electrical, Electrician,4,"Newark, DE, United States",+1 302-455-9405,"""I highly recommend their skilled technicians.""",0,"https://www.google.com/maps/dir//Michael+Vassallo+Electrical,+4+Mill+Park+Ct,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c70097de87533b:0x1a41f1bd0ffdbe2a?sa=X&ved=1t:57443&ictx=111",Directions
Mr. Electric of Newark, Electrician,4.9,"Newark, DE, United States", +1 302-261-9906,"""Seth was able to fix our  issue quickly.""",https://mrelectric.com,"https://www.google.com/maps/dir//Mr.+Electric+of+Newark,+250+Corporate+Blvd+%23+D,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9388863b785:0x24c726fea986d1e5?sa=X&ved=1t:57443&ictx=111",Directions
Mister Sparky of New Castle County, Electrician,4.9,"Newark, DE, United States", +1 302-285-9121,"""He came in and instantly assessed the problem and repaired it quickly.""",https://www.mistersparky.com,"https://www.google.com/maps/dir//Mister+Sparky+of+New+Castle+County,+262+Chapman+Rd,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x67e540415d3be18b:0x323d8ddf5a31711b?sa=X&ved=1t:57443&ictx=111",Directions
The Electrician Delaware, Electrician,5,#VALUE!, +1 302-575-7957,"""He not only found and fixed the issue quickly, but he's polite and friendly.""",https://theelectriciande.com,"https://www.google.com/maps/dir//The+Electrician+Delaware,+86+Red+Mill+Rd+A,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xba14d7b135f497b:0x95eb064e9d30817c?sa=X&ved=1t:57443&ictx=111",Directions
Continental Electrical Services, Electrician,5,"Newark, DE, United States", +1 302-294-6311,"""Incredible service and quality work.""",http://continentalelect.com,"https://www.google.com/maps/dir//Continental+Electrical+Services,+3+Mill+Park+Ct,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7abd5ae48ba93:0x59d6c7bf6cd190ba?sa=X&ved=1t:57443&ictx=111",Directions
"All-Pro Electric and Construction Services, Inc.", Electrician,4.9,"Newark, DE, United States", +1 302-250-4318,"""I would highly recommend them for anyone looking for  needs.""",0,"https://www.google.com/maps/dir//All-Pro+Electric+and+Construction+Services,+Inc.,+2+Coach+Hill+Ct,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7007be7ca6141:0x9d4397e606ab88a0?sa=X&ved=1t:57443&ictx=111",Directions
"Omega Electric, LLC", Electrician,5,"Newark, DE, United States", +1 302-660-5114,"""Look no further, knowledgeable, cleaned there work area, customer oriented.""",https://omegaelectricdelaware.com,"https://www.google.com/maps/dir//Omega+Electric,+LLC,+1243+Old+Coochs+Bridge+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a96133eac4d1:0x9f27323ede49b84e?sa=X&ved=1t:57443&ictx=111",Directions
KR Byard Electrical, Electrician,5,,+1 302-607-5776,"""He gave us a fair price, came over when he said and did a great job.""",https://www.krbyardelectrical.com,,
